scheme,year,band,females
S0,1985,20-24,30510679.75566697
S0,1985,25-29,31028127.022363394
S0,1985,30-34,29283450.02276537
S0,1985,35-39,27255968.44174719
S0,1985,40-44,25169256.771825522
S0,1985,45-49,22757643.49672863
S0,1985,50-54,20369260.774186373
S0,1985,55-59,17289266.01553297
S0,1985,60-64,13917029.329032063
S0,1985,65-69,10593770.004026294
S0,1985,70-74,8052165.457638383
S0,1985,75+,11245151.542596579
S0,1985,0-8,
S0,1985,9-14,
S0,1985,0-17,
S0,1985,18-29,
S0,1985,30-65,
S0,1985,66+,
S0,1985,15-26,
S0,1985,27-45,
S0,1985,46-65,
S0,1986,00-04,27360996.9989698
S0,1986,05-09,28325944.64405194
S0,1986,10-14,29244604.67369782
S0,1986,15-19,29818789.226231933
